sample_id	transcriptome	cellranger_versiom	Estimated_Number_of_Cells	Mean_Reads_per_Cell	Median_Genes_per_Cell	Number_of_Reads	Valid_Barcodes	Sequencing_Saturation	Q30_Bases_in_Barcode	Q30_Bases_in_RNA_Read	Q30_Bases_in_Sample_Index	Q30_Bases_in_UMI	Reads_Mapped_to_Genome	Reads_Mapped_Confidently_to_Genome	Reads_Mapped_Confidently_to_Intergenic_Regions	Reads_Mapped_Confidently_to_Intronic_Regions	Reads_Mapped_Confidently_to_Exonic_Regions	Reads_Mapped_Confidently_to_Transcriptome	Reads_Mapped_Antisense_to_Gene	Fraction_Reads_in_Cells	Total_Genes_Detected	Median_UMI_Counts_per_Cell
4672STDY8112882	mm10-3_0_0	3.0.2	8289	91318	1751	756937030	98.40	76.90	97.10	71.70	93.90	97.00	93.40	86.50	10.20	6.40	69.80	68.10	0.60	89.30	18738	7888
4672STDY8112883	mm10-3_0_0	3.0.2	9461	63024	1757	596272040	98.50	64.30	97.20	69.50	93.50	97.00	92.90	87.30	9.20	7.00	71.10	69.10	0.70	90.30	19146	7778
4672STDY8112884	mm10-3_0_0	3.0.2	9154	49172	1381	450122196	98.40	67.40	97.80	68.00	92.50	98.10	94.80	88.40	11.00	6.90	70.50	68.80	0.70	91.80	18843	5859
4672STDY8112885	mm10-3_0_0	3.0.2	10325	63786	1736	658596626	98.60	66.80	97.20	72.90	92.80	97.40	91.90	85.90	10.10	6.70	69.10	67.30	0.60	92.00	19483	7896
4672STDY8112974	mm10-3_0_0	3.0.2	9148	64426	1735	589375745	98.50	61.90	97.50	73.20	92.70	97.70	93.90	87.80	9.00	6.50	72.30	70.30	0.70	85.60	19379	8115
4672STDY8112975	mm10-3_0_0	3.0.2	9126	66011	1779	602420076	98.50	65.10	97.50	74.40	93.50	97.70	95.30	88.90	9.20	6.40	73.30	71.40	0.70	90.10	19452	8302
4672STDY8112976	mm10-3_0_0	3.0.2	7423	80515	1469	597663233	98.40	76.30	97.30	73.50	93.60	97.20	94.80	88.40	14.70	5.90	67.80	66.10	0.60	92.30	19342	6427
4672STDY8112977	mm10-3_0_0	3.0.2	7881	74661	1566	588410894	98.50	71.80	97.40	71.70	93.60	97.40	94.20	88.20	12.60	6.00	69.60	67.70	0.60	90.40	19228	7613
4672STDY8113070	mm10-3_0_0	3.0.2	5596	104652	1786	585634934	98.30	77.10	97.30	72.80	92.70	97.30	93.80	87.20	13.20	7.50	66.40	64.40	0.80	90.50	19741	8144
4672STDY8112979	mm10-3_0_0	3.0.2	8630	64275	1665	554697155	98.40	66.70	97.10	69.40	93.20	97.10	94.30	88.20	10.40	6.40	71.40	69.50	0.70	92.40	19921	7027
4672STDY8112980	mm10-3_0_0	3.0.2	8397	67976	1974	570798207	98.40	62.10	97.40	71.30	93.70	97.30	94.40	88.50	7.60	6.80	74.20	72.10	0.70	93.00	19884	8848
4672STDY8112981	mm10-3_0_0	3.0.2	8427	55676	1492	469182011	98.60	69.00	97.10	69.90	84.90	96.40	94.80	87.70	14.70	6.10	67.00	65.30	0.60	92.30	19201	6546
